verse_reference,language,used,date_used
"John 10,11",english,FALSE,
"John 10,14-15",english,FALSE,
"John 10,27-29",english,FALSE,
"John 11,25-26",english,FALSE,
"John 12,26",english,FALSE,
"John 12,32",english,FALSE,
"John 12,46",english,FALSE,
"John 13,1",english,FALSE,
"John 13,17",english,FALSE,
"John 13,34",english,FALSE,
"John 13,34-35",english,FALSE,
"John 13,7",english,FALSE,
"John 14,1-3",english,FALSE,
"John 14,12",english,FALSE,
"John 14,15",english,FALSE,
"John 14,18",english,FALSE,
"John 14,21",english,FALSE,
"John 14,23",english,FALSE,
"John 14,27",english,FALSE,
"John 14,6",english,FALSE,
"John 15,1-2",english,FALSE,
"John 15,11",english,FALSE,
"John 15,13",english,TRUE,2025-10-12 21:02:20
"John 15,15",english,FALSE,
"John 15,16",english,FALSE,
"John 15,4",english,FALSE,
"John 15,5",english,FALSE,
"John 15,7",english,FALSE,
"John 16,13",english,FALSE,
"John 16,24",english,FALSE,
"John 16,33",english,FALSE,
"John 16,8",english,FALSE,
"John 17,17",english,FALSE,
"John 17,21",english,FALSE,
"John 17,3",english,FALSE,
"John 20,29",english,FALSE,
"John 21,17",english,FALSE,
"John 3,16",english,FALSE,
"John 3,16-17",english,FALSE,
"John 3,3",english,FALSE,
"John 3,30",english,FALSE,
"John 4,14",english,FALSE,
"John 4,24",english,FALSE,
"John 5,24",english,FALSE,
"John 5,39",english,FALSE,
"John 6,35",english,FALSE,
"John 6,37",english,FALSE,
"John 6,63",english,FALSE,
"John 7,17",english,FALSE,
"John 7,24",english,FALSE,
"John 7,37-38",english,FALSE,
"John 8,12",english,FALSE,
"John 8,32",english,FALSE,
"John 8,36",english,FALSE,
"John 9,25",english,FALSE,
"Jude 1,24-25",english,FALSE,
"Colossians 1,10",english,FALSE,
"Colossians 1,13-14",english,FALSE,
"Colossians 1,16",english,FALSE,
"Colossians 1,17",english,FALSE,
"Colossians 1,9",english,FALSE,
"Colossians 2,2",english,FALSE,
"Colossians 2,6-7",english,FALSE,
"Colossians 2,8",english,FALSE,
"Colossians 3,1-2",english,FALSE,
"Colossians 3,12-14",english,FALSE,
"Colossians 3,13",english,FALSE,
"Colossians 3,15",english,FALSE,
"Colossians 3,16",english,FALSE,
"Colossians 3,17",english,FALSE,
"Colossians 3,2",english,FALSE,
"Colossians 3,23-24",english,FALSE,
"Colossians 4,2",english,FALSE,
"Colossians 4,6",english,FALSE,
"Luke 1,37",english,FALSE,
"Luke 1,45",english,FALSE,
"Luke 1,78-79",english,FALSE,
"Luke 10,19",english,FALSE,
"Luke 10,27",english,FALSE,
"Luke 11,13",english,FALSE,
"Luke 11,28",english,TRUE,2025-10-14 00:05:31
"Luke 11,9",english,FALSE,
"Luke 12,2",english,FALSE,
"Luke 12,22-26",english,FALSE,
"Luke 12,32",english,FALSE,
"Luke 12,34",english,FALSE,
"Luke 12,48",english,FALSE,
"Luke 14,11",english,FALSE,
"Luke 14,27",english,FALSE,
"Luke 15,7",english,FALSE,
"Luke 16,10",english,FALSE,
"Luke 18,1",english,FALSE,
"Luke 18,27",english,FALSE,
"Luke 19,10",english,FALSE,
"Luke 2,10-11",english,FALSE,
"Luke 21,19",english,FALSE,
"Luke 22,42",english,FALSE,
"Luke 24,49",english,FALSE,
"Luke 4,18",english,FALSE,
"Luke 5,32",english,FALSE,
"Luke 6,31",english,FALSE,
"Luke 6,35",english,FALSE,
"Luke 6,37-38",english,FALSE,
"Luke 6,45",english,FALSE,
"Luke 8,17",english,FALSE,
"Luke 9,23",english,FALSE,
"Mark 1,17",english,FALSE,
"Mark 1,35",english,FALSE,
"Mark 10,27",english,FALSE,
"Mark 10,45",english,FALSE,
"Mark 11,24",english,FALSE,
"Mark 11,25",english,FALSE,
"Mark 12,30",english,FALSE,
"Mark 12,30-31",english,FALSE,
"Mark 12,43-44",english,FALSE,
"Mark 13,31",english,FALSE,
"Mark 16,15",english,FALSE,
"Mark 2,17",english,TRUE,2025-10-13 16:10:49
"Mark 4,39",english,FALSE,
"Mark 5,36",english,FALSE,
"Mark 6,31",english,FALSE,
"Mark 8,34",english,FALSE,
"Mark 8,36",english,FALSE,
"Mark 9,23",english,FALSE,
"Mark 9,35",english,FALSE,
"Matthew 10,16",english,FALSE,
"Matthew 10,22",english,FALSE,
"Matthew 10,30-31",english,TRUE,2025-10-12 20:55:23
"Matthew 10,32-33",english,FALSE,
"Matthew 10,39",english,FALSE,
"Matthew 10,8",english,FALSE,
"Matthew 11,28",english,FALSE,
"Matthew 11,28-30",english,FALSE,
"Matthew 12,36-37",english,FALSE,
"Matthew 13,43",english,FALSE,
"Matthew 15,8",english,FALSE,
"Matthew 16,24-26",english,FALSE,
"Matthew 18,18",english,FALSE,
"Matthew 18,20",english,FALSE,
"Matthew 18,3",english,FALSE,
"Matthew 19,26",english,FALSE,
"Matthew 21,22",english,FALSE,
"Matthew 22,37-39",english,FALSE,
"Matthew 23,12",english,FALSE,
"Matthew 24,35",english,FALSE,
"Matthew 25,40",english,FALSE,
"Matthew 26,41",english,FALSE,
"Matthew 28,18",english,FALSE,
"Matthew 28,19-20",english,FALSE,
"Matthew 4,19",english,FALSE,
"Matthew 4,4",english,FALSE,
"Matthew 5,13-16",english,FALSE,
"Matthew 5,14",english,FALSE,
"Matthew 5,16",english,FALSE,
"Matthew 5,3-12",english,FALSE,
"Matthew 5,4",english,FALSE,
"Matthew 5,44",english,FALSE,
"Matthew 5,48",english,FALSE,
"Matthew 5,5",english,FALSE,
"Matthew 5,6",english,FALSE,
"Matthew 5,8",english,FALSE,
"Matthew 5,9",english,FALSE,
"Matthew 6,1",english,FALSE,
"Matthew 6,14-15",english,FALSE,
"Matthew 6,19-21",english,FALSE,
"Matthew 6,21",english,FALSE,
"Matthew 6,24",english,FALSE,
"Matthew 6,25-34",english,FALSE,
"Matthew 6,3-4",english,FALSE,
"Matthew 6,33",english,FALSE,
"Matthew 6,34",english,FALSE,
"Matthew 6,6",english,FALSE,
"Matthew 6,8",english,FALSE,
"Matthew 6,9-13",english,FALSE,
"Matthew 7,1-2",english,FALSE,
"Matthew 7,12",english,FALSE,
"Matthew 7,13-14",english,FALSE,
"Matthew 7,15",english,FALSE,
"Matthew 7,21",english,FALSE,
"Matthew 7,24-27",english,FALSE,
"Matthew 7,6",english,FALSE,
"Matthew 7,7-8",english,FALSE,
"Matthew 9,37-38",english,FALSE,
"Romans 1,16",english,FALSE,
"Romans 1,17",english,FALSE,
"Romans 1,20",english,FALSE,
"Romans 10,13",english,FALSE,
"Romans 10,17",english,FALSE,
"Romans 10,9-10",english,FALSE,
"Romans 11,33",english,FALSE,
"Romans 11,36",english,FALSE,
"Romans 12,1-2",english,FALSE,
"Romans 12,10",english,FALSE,
"Romans 12,11",english,FALSE,
"Romans 12,12",english,FALSE,
"Romans 12,2",english,FALSE,
"Romans 12,3",english,FALSE,
"Romans 12,9-21",english,FALSE,
"Romans 13,1",english,FALSE,
"Romans 13,10",english,FALSE,
"Romans 13,8",english,FALSE,
"Romans 14,1",english,FALSE,
"Romans 14,12",english,FALSE,
"Romans 14,17",english,FALSE,
"Romans 14,19",english,FALSE,
"Romans 14,8",english,FALSE,
"Romans 15,1",english,FALSE,
"Romans 15,13",english,FALSE,
"Romans 15,4",english,FALSE,
"Romans 15,7",english,FALSE,
"Romans 16,17",english,FALSE,
"Romans 2,11",english,FALSE,
"Romans 2,4",english,FALSE,
"Romans 3,10",english,FALSE,
"Romans 3,23",english,FALSE,
"Romans 4,20-21",english,FALSE,
"Romans 5,1",english,FALSE,
"Romans 5,3-5",english,FALSE,
"Romans 5,6",english,FALSE,
"Romans 5,8",english,FALSE,
"Romans 6,1-2",english,FALSE,
"Romans 6,14",english,FALSE,
"Romans 6,23",english,FALSE,
"Romans 6,6",english,FALSE,
"Romans 7,19",english,FALSE,
"Romans 8,1-2",english,FALSE,
"Romans 8,14",english,FALSE,
"Romans 8,18",english,FALSE,
"Romans 8,26",english,FALSE,
"Romans 8,28",english,FALSE,
"Romans 8,31",english,FALSE,
"Romans 8,31-39",english,FALSE,
"Romans 8,32",english,FALSE,
"Romans 8,37-39",english,FALSE,
"Romans 8,6",english,FALSE,
"Acts 1,4",english,FALSE,
"Acts 1,8",english,FALSE,
"Acts 10,34-35",english,FALSE,
"Acts 13,38-39",english,FALSE,
"Acts 15,11",english,FALSE,
"Acts 16,25",english,FALSE,
"Acts 16,31",english,FALSE,
"Acts 17,11",english,FALSE,
"Acts 17,28",english,FALSE,
"Acts 18,9-10",english,FALSE,
"Acts 2,21",english,FALSE,
"Acts 2,38",english,FALSE,
"Acts 2,42",english,FALSE,
"Acts 20,24",english,FALSE,
"Acts 20,35",english,FALSE,
"Acts 24,16",english,FALSE,
"Acts 3,19",english,FALSE,
"Acts 4,12",english,FALSE,
"Acts 4,31",english,FALSE,
"Acts 5,29",english,FALSE,
"Titus 2,1",english,FALSE,
"Titus 2,11-12",english,FALSE,
"Titus 2,7",english,FALSE,
"Titus 3,5",english,FALSE,
"Revelation 1,5-6",english,FALSE,
"Revelation 1,8",english,FALSE,
"Revelation 12,11",english,FALSE,
"Revelation 2,10",english,FALSE,
"Revelation 21,4",english,FALSE,
"Revelation 21,6",english,FALSE,
"Revelation 22,13",english,FALSE,
"Revelation 3,20",english,FALSE,
"Revelation 4,11",english,FALSE,
"Revelation 5,9",english,FALSE,
"Revelation 7,17",english,FALSE,
