object_id,title,artist,year,image_url,owner,medium,dimensions,classification,creditLine,objectURL,artistULAN_URL,tags,used,date_used
435643,The Circumcision,Giovanni Bellini,1511,https://images.metmuseum.org/CRDImages/ep/web-large/ep17.190.9.bw.R.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,26 3/4 x 40 1/2 in. (67.9 x 102.9 cm),Paintings,"Gift of J. Pierpont Morgan, 1917",https://www.metmuseum.org/art/collection/search/435643,http://vocab.getty.edu/page/ulan/500019244,Men; Women; Virgin Mary; Jesus; Circumcision; Joseph; Priests,FALSE,
435657,"The Twelve Apostles: Saints Bartholomew, Andrew, Matthew, James the Greater, Thaddeus, Philip, James the Lesser, Simon, Peter, Paul, Thomas, and John",Bergognone (Ambrogio di Stefano da Fossano),1522,https://images.metmuseum.org/CRDImages/ep/web-large/ep27.39.2.bw.R.jpg,"The Metropolitan Museum of Art, New York",Oil and gold on wood,Each 12 1/4 x 6 in. (31.1 x 15.2 cm),Paintings,"Fletcher Fund, 1926",https://www.metmuseum.org/art/collection/search/435657,http://vocab.getty.edu/page/ulan/500032198,Men; Apostles; Saint Matthew; Saint Paul; Saint Peter; Saints,FALSE,
435658,Madonna and Child,Berlinghiero,1239,https://images.metmuseum.org/CRDImages/ep/web-large/DP-26882-001.jpg,"The Metropolitan Museum of Art, New York","Tempera on wood, gold ground",Overall 31 5/8 x 21 1/8 in. (80.3 x 53.7 cm); painted surface 30 x 19 1/2 in. (76.2 x 49.5 cm),Paintings,"Gift of Irma N. Straus, 1960",https://www.metmuseum.org/art/collection/search/435658,http://vocab.getty.edu/page/ulan/500014124,Madonna and Child,FALSE,
435661,Portrait of a Woman,Vincent Bertrand,1815,https://images.metmuseum.org/CRDImages/ep/web-large/129641.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 2 5/8 x 2 in. (58 x 48 mm)",Miniatures,"Gift of Mrs. Heyward Cutting, 1942",https://www.metmuseum.org/art/collection/search/435661,http://vocab.getty.edu/page/ulan/500043197,Portraits; Women,FALSE,
435697,"George IV (1762–1830) as Prince Regent, after Lawrence",Henry Bone,1816,https://images.metmuseum.org/CRDImages/ep/web-large/DT200600.jpg,"The Metropolitan Museum of Art, New York",Enamel,"Oval, 2 1/2 x 2 in. (64 x 49 mm)",Miniatures,"Bequest of Collis P. Huntington, 1900",https://www.metmuseum.org/art/collection/search/435697,http://vocab.getty.edu/page/ulan/500000388,Men; Portraits,FALSE,
435714,Curiosity,Gerard ter Borch the Younger,1662,https://images.metmuseum.org/CRDImages/ep/web-large/DP145405.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,30 x 24 1/2 in. (76.2 x 62.2 cm),Paintings,"The Jules Bache Collection, 1949",https://www.metmuseum.org/art/collection/search/435714,http://vocab.getty.edu/page/ulan/500017511,Interiors; Women; Dogs; Writing,FALSE,
435723,Barnyard Scene,Anthonie van Borssom,1655,https://images.metmuseum.org/CRDImages/ep/web-large/DP143172.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,20 x 27 in. (50.8 x 68.6 cm),Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",https://www.metmuseum.org/art/collection/search/435723,http://vocab.getty.edu/page/ulan/500003284,Women; Cows; Pigs; Sheep,FALSE,
435726,Count Alexander Ivanovich Sollogoub (1788–1844),Domenico Bossi,1810,https://images.metmuseum.org/CRDImages/ep/web-large/209773.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 2 3/8 x 1 7/8 in. (60 x 47 mm)",Miniatures,"Gift of Humanities Fund Inc., 1972",https://www.metmuseum.org/art/collection/search/435726,http://vocab.getty.edu/page/ulan/500021275,Men; Portraits,FALSE,
435728,The Last Communion of Saint Jerome,Botticelli (Alessandro di Mariano Filipepi),1493,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24049-001.jpg,"The Metropolitan Museum of Art, New York",Tempera and gold on wood,13 1/2 x 10 in. (34.3 x 25.4 cm),Paintings,"Bequest of Benjamin Altman, 1913",https://www.metmuseum.org/art/collection/search/435728,http://vocab.getty.edu/page/ulan/500015254,Saint Jerome; Monks; Crucifixion,FALSE,
435730,Madonna and Child with Two Angels,Botticelli,1510,https://images.metmuseum.org/CRDImages/ep/web-large/EP256.jpg,"The Metropolitan Museum of Art, New York",Tempera on wood,"Oval, 39 1/4 x 28 in. (99.7 x 71.1 cm)",Paintings,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",https://www.metmuseum.org/art/collection/search/435730,http://vocab.getty.edu/page/ulan/500015254,Angels; Madonna and Child,FALSE,
435736,Portrait of a Woman,Etienne Bouchardy,1832,https://images.metmuseum.org/CRDImages/ep/web-large/60100.jpg,"The Metropolitan Museum of Art, New York",Ivory laid on card,"Oval, 3 1/4 x 2 5/8 in. (82 x 67 mm)",Miniatures,"Gift of Mrs. Louis V. Bell, in memory of her husband, 1925",https://www.metmuseum.org/art/collection/search/435736,http://vocab.getty.edu/page/ulan/500022942,Portraits; Women,FALSE,
435741,Allegory of Lyric Poetry,François Boucher,1753,https://images.metmuseum.org/CRDImages/ep/web-large/DP259113.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,"Irregular, 45 1/4 x 62 3/4 in. (114.9 x 159.4 cm)",Paintings,"Purchase, Mr. and Mrs. Charles Wrightsman Gift, 1969",https://www.metmuseum.org/art/collection/search/435741,http://vocab.getty.edu/page/ulan/500032143,Musical Instruments; Doves; Putti; Writing,FALSE,
435742,Angelica and Medoro,François Boucher,1763,https://images.metmuseum.org/CRDImages/ep/web-large/DP339914.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,"Oval, 26 1/4 x 22 1/8 in. (66.7 x 56.2 cm)",Paintings,"The Jack and Belle Linsky Collection, 1982",https://www.metmuseum.org/art/collection/search/435742,http://vocab.getty.edu/page/ulan/500032143,Female Nudes; Putti,FALSE,
435764,Virgin and Child,Hans Traut,1505,https://images.metmuseum.org/CRDImages/ep/web-large/DP164802.jpg,"The Metropolitan Museum of Art, New York","Oil, gold, and silver on linden",15 5/8 x 12 1/8 in. (39.7 x 30.8 cm),Paintings,"Purchase, Joseph Pulitzer Bequest, 1922",https://www.metmuseum.org/art/collection/search/435764,http://vocab.getty.edu/page/ulan/500024540,Madonna and Child,FALSE,
435788,A Man with the Initials RH,British Painter,1785,https://images.metmuseum.org/CRDImages/ep/web-large/ep95.14.96.R.jpg,"The Metropolitan Museum of Art, New York",Card,"Oval, 2 x 1 3/8 in. (51 x 36 mm)",Miniatures,"The Moses Lazarus Collection, Gift of Josephine and Sarah Lazarus, in memory of their father, 1888–95",https://www.metmuseum.org/art/collection/search/435788,(not assigned),Men; Portraits,FALSE,
435793,Tottenham Church,British Painter,1835,https://images.metmuseum.org/CRDImages/ep/web-large/DP167130.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,20 1/2 x 18 1/8 in. (52.1 x 46 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",https://www.metmuseum.org/art/collection/search/435793,(not assigned),,FALSE,
435818,Portrait of a Man,Barthel Bruyn the Elder,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP280346.jpg,"The Metropolitan Museum of Art, New York",Oil on oak,"Overall, with arched top, 12 x 8 7/8 in. (30.5 x 22.5 cm); painted surface 11 3/4 x 8 1/8 in. (29.8 x 20.6 cm)",Paintings,"Gift of James A. Moffett 2nd, 1962",https://www.metmuseum.org/art/collection/search/435818,http://vocab.getty.edu/page/ulan/500028449,Men; Portraits,FALSE,
435819,Portrait of a Woman,Barthel Bruyn the Elder,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP280348.jpg,"The Metropolitan Museum of Art, New York",Oil on oak,"Overall, with arched top, 12 x 8 7/8 in. (30.5 x 22.5 cm); painted surface 11 3/4 x 8 1/8 in. (29.8 x 20.6 cm)",Paintings,"Gift of James A. Moffett 2nd, 1962",https://www.metmuseum.org/art/collection/search/435819,http://vocab.getty.edu/page/ulan/500028449,Portraits; Women,FALSE,
435823,Adam; Eve,Giuliano di Piero di Simone Bugiardini,1525,https://images.metmuseum.org/CRDImages/ep/web-large/DP246969.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,Each 26 3/8 x 61 3/4 in. (67 x 156.8 cm),Paintings,"Bequest of Edward Fowles, 1971",https://www.metmuseum.org/art/collection/search/435823,http://vocab.getty.edu/page/ulan/500011070,Snakes; Adam; Eve,FALSE,
435824,Madonna and Child Enthroned with Saints Mary Magdalen and John the Baptist,Giuliano di Piero di Simone Bugiardini,1528,https://images.metmuseum.org/CRDImages/ep/web-large/DT894.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,76 1/4 x 65 1/4 in. (193.7 x 165.7 cm),Paintings,"Fletcher Fund, 1930",https://www.metmuseum.org/art/collection/search/435824,http://vocab.getty.edu/page/ulan/500011070,Angels; Madonna and Child; Mary Magdalene; Saint John the Baptist,FALSE,
435837,Man in Prayer,Rogier van der Weyden,1445,https://images.metmuseum.org/CRDImages/ep/web-large/DP347297.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,Overall 12 1/2 x 9 1/8 in. (31.8 x 23.2 cm); painted surface 12 1/2 x 9 in. (31.8 x 23 cm),Paintings,"Bequest of Mary Stillman Harkness, 1950",https://www.metmuseum.org/art/collection/search/435837,http://vocab.getty.edu/page/ulan/500008384,Men; Portraits,FALSE,
435839,Piazza San Marco,Canaletto (Giovanni Antonio Canal),1729,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-009.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,27 x 44 1/4 in. (68.6 x 112.4 cm),Paintings,"Purchase, Mrs. Charles Wrightsman Gift, 1988",https://www.metmuseum.org/art/collection/search/435839,http://vocab.getty.edu/page/ulan/500115269,Towers; Cities; Venice,FALSE,
435841,Baron Joseph Dominique Louis (1755–1837),Pierre Laurent Canon,1844,https://images.metmuseum.org/CRDImages/ep/web-large/50664.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 4 1/8 x 3 1/8 in. (105 x 80 mm)",Miniatures,"The Moses Lazarus Collection, Gift of Josephine and Sarah Lazarus, in memory of their father, 1888–95",https://www.metmuseum.org/art/collection/search/435841,(not assigned),Men; Portraits,FALSE,
435860,Portrait of a Venetian Senator,Catena (Vincenzo di Biagio),1530,https://images.metmuseum.org/CRDImages/ep/web-large/DP-22885-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,27 1/4 x 24 in. (69.2 x 61 cm),Paintings,"Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",https://www.metmuseum.org/art/collection/search/435860,http://vocab.getty.edu/page/ulan/500019821,Men; Portraits,FALSE,
435863,Saint Catherine Disputing and Two Donors,Cenni di Francesco di Ser Cenni,1385,https://images.metmuseum.org/CRDImages/ep/web-large/DP-20591-001.jpg,"The Metropolitan Museum of Art, New York","Tempera on wood, gold ground","Overall, with engaged frame, 22 3/4 x 18 1/4 in. (57.8 x 46.4 cm); painted surface 21 1/4 x 16 3/4 in. (54 x 42.5 cm)",Paintings,"Bequest of Jean Fowles, in memory of her first husband, R. Langton Douglas, 1981",https://www.metmuseum.org/art/collection/search/435863,http://vocab.getty.edu/page/ulan/500000459,Men; Women; Saint Catherine,FALSE,
435867,Bathers,Paul Cézanne,1875,https://images.metmuseum.org/CRDImages/ep/web-large/DP-33710-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,15 x 18 1/8 in. (38.1 x 46 cm),Paintings,"Bequest of Joan Whitney Payson, 1975",https://www.metmuseum.org/art/collection/search/435867,http://vocab.getty.edu/page/ulan/500004793,Female Nudes; Bathing,FALSE,
435872,The Gulf of Marseille Seen from L'Estaque,Paul Cézanne,1890,https://images.metmuseum.org/CRDImages/ep/web-large/DT1029.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,28 3/4 x 39 1/2 in. (73 x 100.3 cm),Paintings,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",https://www.metmuseum.org/art/collection/search/435872,http://vocab.getty.edu/page/ulan/500004793,Towns; Seas,FALSE,
435873,Gustave Boyer (b. 1840) in a Straw Hat,Paul Cézanne,1871,https://images.metmuseum.org/CRDImages/ep/web-large/DT1938.jpg,"The Metropolitan Museum of Art, New York","Oil on paper, laid down on canvas",21 5/8 x 15 1/4 in. (54.9 x 38.7 cm),Paintings,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",https://www.metmuseum.org/art/collection/search/435873,http://vocab.getty.edu/page/ulan/500004793,Men; Portraits,FALSE,
435880,Rocks at Fontainebleau,Paul Cézanne,1899,https://images.metmuseum.org/CRDImages/ep/web-large/DP-23704-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,28 7/8 x 36 3/8 in. (73.3 x 92.4 cm),Paintings,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",https://www.metmuseum.org/art/collection/search/435880,http://vocab.getty.edu/page/ulan/500004793,Forests; Landscapes,FALSE,
435897,Head of Christ (Ecce Homo),Petrus Christus,1450,https://images.metmuseum.org/CRDImages/ep/web-large/DT229079.jpg,"The Metropolitan Museum of Art, New York","Oil on parchment, laid down on wood",Overall 5 7/8 x 4 1/4 in. (14.9 x 10.8 cm); parchment 5 3/4 x 4 1/8 in. (14.6 x 10.5 cm),Paintings,"Bequest of Lillian S. Timken, 1959",https://www.metmuseum.org/art/collection/search/435897,http://vocab.getty.edu/page/ulan/500032549,Christ,FALSE,
435905,The Ford,Claude Lorrain (Claude Gellée),1636,https://images.metmuseum.org/CRDImages/ep/web-large/DP123844.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,29 1/4 x 39 3/4 in. (74.3 x 101 cm),Paintings,"Fletcher Fund, 1928",https://www.metmuseum.org/art/collection/search/435905,http://vocab.getty.edu/page/ulan/500115366,Men; Women; Rivers; Landscapes; Boats,FALSE,
435907,Sunrise,Claude Lorrain (Claude Gellée),1647,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-013.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,40 1/2 x 52 3/4 in. (102.9 x 134 cm),Paintings,"Fletcher Fund, 1947",https://www.metmuseum.org/art/collection/search/435907,http://vocab.getty.edu/page/ulan/500115366,Human Figures; Cows; Landscapes; Dawn,FALSE,
435918,Vanitas Still Life,Edwaert Collier,1662,https://images.metmuseum.org/CRDImages/ep/web-large/DP146494.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,37 x 44 1/8 in. (94 x 112.1 cm),Paintings,"Purchase, 1871",https://www.metmuseum.org/art/collection/search/435918,http://vocab.getty.edu/page/ulan/500008569,Books; Jewelry; Skulls; Music; Violins; Still Life; Globes,FALSE,
435923,Stoke-by-Nayland,John Constable,1815,https://images.metmuseum.org/CRDImages/ep/web-large/DP164805.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,11 1/8 x 14 1/4 in. (28.3 x 36.2 cm),Paintings,"Charles B. Curtis Fund, 1926",https://www.metmuseum.org/art/collection/search/435923,http://vocab.getty.edu/page/ulan/500115382,Landscapes,FALSE,
435926,Portrait of a Woman,Continental Painter,1635,https://images.metmuseum.org/CRDImages/ep/web-large/175503.jpg,"The Metropolitan Museum of Art, New York",Oil on copper,"Oval, 2 x 1 1/2 in. (50 x 38 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",https://www.metmuseum.org/art/collection/search/435926,(not assigned),Portraits; Women,FALSE,
435933,"Portrait of a Woman, Said to Be Princess Apraxine",Continental Painter,1785,https://images.metmuseum.org/CRDImages/ep/web-large/175506.jpg,"The Metropolitan Museum of Art, New York",Ivory,"Oval, 2 1/4 x 1 3/4 in. (56 x 44 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",https://www.metmuseum.org/art/collection/search/435933,(not assigned),Portraits; Women,FALSE,
435941,"Henry Carey (1596–1661), Second Earl of Monmouth",Samuel Cooper,1649,https://images.metmuseum.org/CRDImages/ep/web-large/DP327711.jpg,"The Metropolitan Museum of Art, New York",Vellum on prepared card,"Oval, 2 1/2 x 2 in. (64 x 52 mm)",Miniatures,"Rogers Fund, 1949",https://www.metmuseum.org/art/collection/search/435941,http://vocab.getty.edu/page/ulan/500115383,Men; Portraits,FALSE,
435943,"Charles II (1630–1685), King of England",Samuel Cooper,1700,https://images.metmuseum.org/CRDImages/ep/web-large/DP161831.jpg,"The Metropolitan Museum of Art, New York",Vellum laid on prepared card with gessoed back,"Oval, 1 1/4 x 1 1/8 in. (33 x 27 mm)",Miniatures,"Bequest of Millie Bruhl Fredrick, 1962",https://www.metmuseum.org/art/collection/search/435943,http://vocab.getty.edu/page/ulan/500115383,Kings; Men; Portraits,FALSE,
435957,Portrait of a Young Woman,Corneille de Lyon,1575,https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.533.bw.R.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,"Oval, 5 3/4 x 5 1/8 in. (14.6 x 13 cm)",Paintings,"Bequest of George Blumenthal, 1941",https://www.metmuseum.org/art/collection/search/435957,http://vocab.getty.edu/page/ulan/500115387,Portraits; Women,FALSE,
435962,Hagar in the Wilderness,Camille Corot,1835,https://images.metmuseum.org/CRDImages/ep/web-large/DT2013.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,71 x 106 1/2 in. (180.3 x 270.5 cm),Paintings,"Rogers Fund, 1938",https://www.metmuseum.org/art/collection/search/435962,http://vocab.getty.edu/page/ulan/500115390,Children; Women; Landscapes,FALSE,
435980,Portrait of a Child,Camille Corot,1840,https://images.metmuseum.org/CRDImages/ep/web-large/DT872.jpg,"The Metropolitan Museum of Art, New York",Oil on wood,12 5/8 x 9 1/4 in. (32.1 x 23.5 cm),Paintings,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",https://www.metmuseum.org/art/collection/search/435980,http://vocab.getty.edu/page/ulan/500115390,Boys; Portraits,FALSE,
435985,Study for "The Destruction of Sodom",Camille Corot,1843,https://images.metmuseum.org/CRDImages/ep/web-large/DT2018.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,14 1/8 x 19 5/8 in. (35.9 x 49.8 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1984",https://www.metmuseum.org/art/collection/search/435985,http://vocab.getty.edu/page/ulan/500115390,Human Figures; Landscapes,FALSE,
435991,A Woman Reading,Camille Corot,1870,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16589-001.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,21 3/8 x 14 3/4 in. (54.3 x 37.5 cm),Paintings,"Gift of Louise Senff Cameron, in memory of her uncle, Charles H. Senff, 1928",https://www.metmuseum.org/art/collection/search/435991,http://vocab.getty.edu/page/ulan/500115390,Books; Women; Reading,FALSE,
436033,Lukas Spielhausen,Lucas Cranach the Elder,1532,https://images.metmuseum.org/CRDImages/ep/web-large/DP278979.jpg,"The Metropolitan Museum of Art, New York",Oil and gold on beech,20 x 14 3/8 in. (50.8 x 36.5 cm),Paintings,"Bequest of Gula V. Hirschland, 1980",https://www.metmuseum.org/art/collection/search/436033,http://vocab.getty.edu/page/ulan/500115364,Men; Portraits,FALSE,
436043,"Friedrich III (1463–1525), the Wise, Elector of Saxony",Lucas Cranach the Elder and Workshop,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP278968.jpg,"The Metropolitan Museum of Art, New York","Oil on beech, with letterpress-printed paper labels",8 x 5 5/8 in. (20.3 x 14.3 cm),Paintings,"Gift of Robert Lehman, 1946",https://www.metmuseum.org/art/collection/search/436043,http://vocab.getty.edu/page/ulan/500115364,Men; Portraits,FALSE,
436046,"Johann I (1468–1532), the Constant, Elector of Saxony",Lucas Cranach the Elder,1533,https://images.metmuseum.org/CRDImages/ep/web-large/DP280599.jpg,"The Metropolitan Museum of Art, New York","Oil on canvas, transferred from wood, with letterpress-printed paper labels",8 1/4 x 5 7/8 in. (21 x 14.9 cm),Paintings,"Purchase, 1871",https://www.metmuseum.org/art/collection/search/436046,http://vocab.getty.edu/page/ulan/500115364,Men; Portraits,FALSE,
436049,Philip IV (1605–1665) in Parade Armor,Gaspar de Crayer,1633,https://images.metmuseum.org/CRDImages/ep/web-large/DT211613.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,72 x 46 1/2 in. (182.9 x 118.1 cm),Paintings,"Bequest of Helen Hay Whitney, 1944",https://www.metmuseum.org/art/collection/search/436049,http://vocab.getty.edu/page/ulan/500019948,Armor; Philip IV; Portraits,FALSE,
436050,Saint Lucy and Her Mother at the Shrine of Saint Agatha; Saint Lucy Giving Alms; Saint Lucy before Paschasius; Saint Lucy Resisting Efforts to Move Her,Giovanni di Bartolommeo Cristiani,1398,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24194-001.jpg,"The Metropolitan Museum of Art, New York","Tempera on wood, gold ground",(.4 and .3) 9 3/4 x 15 1/8 in. (24.8 x 38.4 cm); (.1) 9 1/2 x 15 1/4 in. (24.1 x 38.7 cm); (.2) 10 x 15 in. (25.4 x 38.1 cm),Paintings,"Rogers Fund, 1912",https://www.metmuseum.org/art/collection/search/436050,http://vocab.getty.edu/page/ulan/500007398,Soldiers; Men; Women; Cows; Angels; Saints,FALSE,
436055,Madonna and Child Enthroned with Two Angels and a Donor,Vittore Crivelli,1481,https://images.metmuseum.org/CRDImages/ep/web-large/DP-36778-001.jpg,"The Metropolitan Museum of Art, New York","Tempera on wood, gold ground",Overall 54 x 25 3/4 in. (137.2 x 65.4 cm); painted surface 52 x 24 1/4 in. (132.1 x 61.5 cm),Paintings,"Gift of George Blumenthal, 1941",https://www.metmuseum.org/art/collection/search/436055,http://vocab.getty.edu/page/ulan/500032229,Men; Angels; Madonna and Child,FALSE,
436063,Equestrian Portrait of Cornelis (1639–1680) and Michiel Pompe van Meerdervoort (1638–1653) with Their Tutor and Coachman,Aelbert Cuyp,1653,https://images.metmuseum.org/CRDImages/ep/web-large/DP146442.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,43 1/4 × 61 1/2 in. (109.9 × 156.2 cm),Paintings,"The Friedsam Collection, Bequest of Michael Friedsam, 1931",https://www.metmuseum.org/art/collection/search/436063,http://vocab.getty.edu/page/ulan/500121064,Children; Men; Portraits; Hunting; Dogs; Horses,FALSE,
436072,The Crucifixion,Bernardo Daddi,1348,https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.12.bw.R.jpg,"The Metropolitan Museum of Art, New York","Tempera on wood, gold ground","Arched top, 18 3/4 x 10 1/4 in. (47.6 x 26 cm)",Paintings,"Bequest of George Blumenthal, 1941",https://www.metmuseum.org/art/collection/search/436072,http://vocab.getty.edu/page/ulan/500004953,Christ; Mary Magdalene; Saint John the Evangelist; Virgin Mary; Crucifixion,FALSE,
436077,Portrait of a Woman,Michael Dahl,1743,https://images.metmuseum.org/CRDImages/ep/web-large/DP169402.jpg,"The Metropolitan Museum of Art, New York",Oil on canvas,77 1/4 x 51 3/4 in. (196.2 x 131.4 cm),Paintings,"Gift of Margaret Bruguière, in memory of Louis Bruguière, 1956",https://www.metmuseum.org/art/collection/search/436077,http://vocab.getty.edu/page/ulan/500031515,Portraits; Women,FALSE,
