nbr,name,link,used,date_used
SG 051,Good Bye Lenin,https://slowgerman.com/2009/04/27/slow-german-051-good-bye-lenin/,FALSE,
SG 052,Automobile,https://slowgerman.com/2009/05/05/slow-german-052-automobile/,FALSE,
SG 053,Arztbesuch,https://slowgerman.com/2009/05/29/slow-german-053-arztbesuch/,FALSE,
SG 054,Banken,https://slowgerman.com/2009/06/12/slow-german-054-banken/,FALSE,
SG 054b,Yes no hello! Absolute Beginner,https://slowgerman.com/2009/07/06/yes-no-hello-absolute-beginner-1/,FALSE,
SG 055,Fernsehen,https://slowgerman.com/2009/07/10/slow-german-055-fernsehen/,FALSE,
SG 056,Jugendherberge,https://slowgerman.com/2009/09/22/slow-german-056-jugendherberge/,FALSE,
SG 057,Halloween,https://slowgerman.com/2009/10/30/halloween/,TRUE,2025-10-14 00:04:25
SG 058,Humor,https://slowgerman.com/2010/01/20/slow-german-058-humor/,FALSE,
SG 058b,In a restaurant Absolute Beginner,https://slowgerman.com/2010/05/17/in-a-restaurant-absolute-beginner-2/,FALSE,
SG 058c,The German ABC Absolute Beginner,https://slowgerman.com/2010/09/10/the-german-abc-absolute-beginner-3/,FALSE,
SG 059,Studieren in Deutschland,https://slowgerman.com/2010/09/17/slow-german-059-studieren-in-deutschland/,FALSE,
SG 060,Schwangerschaft und Geburt,https://slowgerman.com/2011/02/18/slow-german-060-schwangerschaft-und-geburt/,FALSE,
SG 061,Dating,https://slowgerman.com/2011/03/13/slow-german-061-dating/,FALSE,
SG 062,Umgangssprache,https://slowgerman.com/2011/06/20/slow-german-062-umgangssprache/,FALSE,
SG 062b,Furniture Absolute Beginner,https://slowgerman.com/2011/07/03/furniture-absolute-beginner-4/,FALSE,
SG 063,Kinderarzt,https://slowgerman.com/2011/07/20/slow-german-063-kinderarzt/,FALSE,
SG 064,Ferienjob,https://slowgerman.com/2011/08/02/slow-german-064-ferienjob/,FALSE,
SG 065,Senioren,https://slowgerman.com/2011/08/20/slow-german-065-senioren/,FALSE,
SG 066,Kosenamen,https://slowgerman.com/2011/09/12/slow-german-066-kosenamen/,FALSE,
SG 067,Radiosender,https://slowgerman.com/2011/12/03/slow-german-067-radiosender-2/,FALSE,
SG 068,Versicherungen,https://slowgerman.com/2012/01/02/slow-german-068-versicherungen/,FALSE,
SG 069,Tierpark,https://slowgerman.com/2012/01/16/slow-german-069-tierparks/,FALSE,
SG 070,Soziale Netzwerke,https://slowgerman.com/2012/01/31/slow-german-070-soziale-netzwerke/,FALSE,
SG 071,Verben mit Präpositionen,https://slowgerman.com/2012/03/13/slow-german-071-verben-mit-prapositionen/,FALSE,
SG 072,Tag der Deutschen Einheit,https://slowgerman.com/2012/10/03/slow-german-072-tag-der-deutschen-einheit/,FALSE,
SG 073,Die Berliner Mauer,https://slowgerman.com/2013/04/04/sg-073-die-berliner-mauer/,FALSE,
SG 074,Deutsche Autos,https://slowgerman.com/2013/04/23/sg-074-deutsche-autos-2/,FALSE,
SG 075,Der Nikolaus,https://slowgerman.com/2013/12/03/sg-075-der-nikolaus/,FALSE,
SG 076,Deutsche Marken,https://slowgerman.com/2014/01/28/sg-076-deutsche-marken/,FALSE,
SG 077,Deutsche Serien und Filme,https://slowgerman.com/2014/02/11/sg-077-deutsche-serien-und-filme/,FALSE,
SG 078,Fasching oder Karneval,https://slowgerman.com/2014/03/04/sg-078-fasching-oder-karneval/,TRUE,2025-10-14 10:19:46
SG 078b,SG Dialog Im Café,https://slowgerman.com/2014/03/25/slow-german-dialog-1-im-cafe/,FALSE,
SG 079,Fußball,https://slowgerman.com/2014/04/01/sg-079-fussball/,FALSE,
SG 080,Der 1. Mai und der Maibaum,https://slowgerman.com/2014/05/01/sg-080-der-1-mai-und-der-maibaum/,FALSE,
SG 081,Der Dialekt,https://slowgerman.com/2014/05/20/sg-081-der-dialekt/,FALSE,
SG 081b,SG Dialog Das Wetter,https://slowgerman.com/2014/05/27/slow-german-dialog-2-das-wetter/,FALSE,
SG 081c,At the hotel reception. Absolute Beginner,https://slowgerman.com/2014/06/03/hotel-reception-absolute-beginner-05/,FALSE,
SG 082,Bundeskanzlerin Angela Merkel,https://slowgerman.com/2014/06/10/slow-german-082-angela-merkel/,FALSE,
SG 083,Modernes Deutsch,https://slowgerman.com/2014/06/24/sg-083-modernes-deutsch/,TRUE,2025-10-13 15:56:36
SG 084,Sophie Scholl und,https://slowgerman.com/2014/07/17/slow-german-085-sophie-scholl-und-die-weisse-rose/,FALSE,
SG 085,Öko und Bio,https://slowgerman.com/2014/07/30/slow-german-085-oeko-und-bio/,FALSE,
SG 085b,SG Dialog Im Supermarkt,https://slowgerman.com/2014/08/12/sg-dialog-3-im-supermarkt/,FALSE,
SG 086,Stolpersteine,https://slowgerman.com/2014/09/18/sg-086-stolpersteine/,FALSE,
SG 087,Kinderliteratur,https://slowgerman.com/2014/10/03/sg-087-kinderliteratur/,FALSE,
SG 088,Der deutsche Schlager,https://slowgerman.com/2014/10/14/sg-088-der-deutsche-schlager/,FALSE,
SG 089,Die Bewerbung,https://slowgerman.com/2014/10/28/sg-089-die-bewerbung/,FALSE,
SG 090,Klassische Musik,https://slowgerman.com/2014/11/11/sg-090-klassische-musik/,FALSE,
SG 091,Weihnachtsmarkt,https://slowgerman.com/2014/11/25/sg-091-weihnachtsmarkt/,FALSE,
SG 092,Schrebergarten,https://slowgerman.com/2014/12/10/sg-092-schrebergarten/,FALSE,
SG 093,Christkind und Weihnachtsmann,https://slowgerman.com/2014/12/23/sg-093-christkind-und-weihnachtsmann/,FALSE,
SG 094,Silvester und Neujahr,https://slowgerman.com/2014/12/30/sg-094-silvester-und-neujahr/,FALSE,
SG 095,Vegetarier,https://slowgerman.com/2015/01/12/slow-german-095-vegetarier/,FALSE,
SG 096,PEGIDA,https://slowgerman.com/2015/01/28/sg-096-pegida/,FALSE,
SG 097,Tatort,https://slowgerman.com/2015/02/10/slow-german-097-tatort/,FALSE,
SG 098,Frühling,https://slowgerman.com/2015/03/03/sg-098-fruehling/,FALSE,
SG 098b,At the train station. Absolute Beginner,https://slowgerman.com/2015/03/17/absolute-beginner-am-bahnhof-at-the-train-station/,FALSE,
SG 099,Migration,https://slowgerman.com/2015/03/31/sg-099-migration/,FALSE,
SG 100,Sissi und König Ludwig II.,https://slowgerman.com/2015/04/14/sg-100-sissi-und-koenig-ludwig-ii/,FALSE,
SG 101,Erneuerbare Energien,https://slowgerman.com/2015/05/12/sg-101-erneuerbare-energien/,FALSE,
SG 102,Gewerkschaften und Streiks,https://slowgerman.com/2015/05/26/sg-102-gewerkschaften-und-streiks/,FALSE,
SG 103,Spargel,https://slowgerman.com/2015/06/09/sg-103-spargel/,FALSE,
SG 104,Halligen und Watt,https://slowgerman.com/2015/06/23/sg-104-halligen-und-watt/,FALSE,
SG 105,Die Tagesschau,https://slowgerman.com/2015/07/22/sg-105-die-tagesschau/,FALSE,
SG 106,Die Schultüte,https://slowgerman.com/2015/08/04/sg-106-die-schultuete/,FALSE,
SG 107,Kaffee und Kuchen,https://slowgerman.com/2015/09/15/sg-107-kaffee-und-kuchen/,FALSE,
SG 108,München,https://slowgerman.com/2015/09/29/sg-108-muenchen/,FALSE,
SG 109,FKK,https://slowgerman.com/2015/10/13/sg-109-fkk/,FALSE,
SG 110,Das Hofbräuhaus in München,https://slowgerman.com/2015/10/28/sg-110-das-hofbraeuhaus/,FALSE,
SG 110b,Going shopping. Absolute Beginner,https://slowgerman.com/2015/11/09/going-shopping-absolute-beginner-07/,TRUE,2025-10-13 16:04:30
SG 111,Lufthansa,https://slowgerman.com/2015/11/24/sg-111-lufthansa/,FALSE,
SG 112,Winter,https://slowgerman.com/2015/12/08/winter/,FALSE,
SG 113,Kochen und Backen,https://slowgerman.com/2015/12/22/sg113-kochen-backen/,FALSE,
SG 114,Til Schweiger,https://slowgerman.com/2016/01/08/til-schweiger/,FALSE,
SG 114b,SG Dialog #4: Ein Treffen alter Freunde,https://slowgerman.com/2016/01/19/dialog-freunde/,FALSE,
SG 114c,Getting dressed Absolute Beginner,https://slowgerman.com/2016/01/26/getting-dressed-absolute-beginner-08/,FALSE,
SG 115,Redewendungen,https://slowgerman.com/2016/02/09/redewendungen/,FALSE,
SG 116,Lindenstraße,https://slowgerman.com/2016/02/16/sg-116-lindenstrasse/,FALSE,
SG 116b,Die Familie,https://slowgerman.com/2016/02/23/sg-dialog-5-die-familie/,FALSE,
SG 117,BMW,https://slowgerman.com/2016/03/01/sg-117-bmw/,FALSE,
SG 117b,Das Konzert,https://slowgerman.com/2016/03/29/sg-dialog-6-das-konzert/,FALSE,
SG 118,Die Gebrüder Grimm,https://slowgerman.com/2016/04/04/sg-118-die-gebrueder-grimm/,FALSE,
SG 119,Das Bier,https://slowgerman.com/2016/04/18/sg-119-das-bier/,FALSE,
SG 120,Die Trümmerfrauen,https://slowgerman.com/2016/05/16/sg-120-die-truemmerfrauen/,FALSE,
SG 120b,Going to the doctor. Absolute Beginner,https://slowgerman.com/2016/05/24/going-to-the-doctor-absolute-beginner-09/,FALSE,
SG 121,Die Rote Armee Fraktion RAF,https://slowgerman.com/2016/06/10/raf/,FALSE,
SG 122,Der Sommer,https://slowgerman.com/2016/06/22/sommer/,FALSE,
SG 123,Das Ehrenamt,https://slowgerman.com/2016/07/07/sg-123-das-ehrenamt/,FALSE,
SG 124,Margarete Steiff,https://slowgerman.com/2016/07/22/sg-124-margarete-steiff/,FALSE,
SG 125,Die Weißwurst,https://slowgerman.com/2016/08/15/weisswurst/,FALSE,
SG 126,Abkürzungen,https://slowgerman.com/2016/08/26/sg-126-abkuerzungen/,FALSE,
SG 127,Das Abendbrot,https://slowgerman.com/2016/09/14/sg-127-das-abendbrot/,FALSE,
SG 128,Die Sendung mit der Maus,https://slowgerman.com/2016/09/26/sg-128-die-sendung-mit-der-maus/,FALSE,
SG 129,Der Führerschein,https://slowgerman.com/2016/10/16/sg-129-der-fuehrerschein/,FALSE,
SG 130,Das Deutsche Museum,https://slowgerman.com/2016/11/04/sg-130-das-deutsche-museum/,FALSE,
SG 131,Sankt Martin und der Laternenumzug,https://slowgerman.com/2016/11/17/sg-131-sankt-martin-und-der-laternenumzug/,FALSE,
SG 132,Adidas und Puma,https://slowgerman.com/2016/12/19/sg-132-adidas-und-puma/,FALSE,
SG 133,Der Pumuckl,https://slowgerman.com/2017/01/13/sg-133-der-pumuckl/,FALSE,
SG 134,Karl Valentin,https://slowgerman.com/2017/02/10/sg-134-karl-valentin/,FALSE,
SG 134b,Make-Up and Hair. Absolute Beginner,https://slowgerman.com/2017/02/24/make-up-and-hair-absolute-beginner-10/,FALSE,
SG 135,Deutscher Wein,https://slowgerman.com/2017/03/03/sg-135-deutscher-wein/,FALSE,
SG 136,Der deutsche Bundespräsident,https://slowgerman.com/2017/03/19/sg-136-der-deutsche-bundespraesident/,FALSE,
SG 137,Das Bauhaus,https://slowgerman.com/2017/04/02/sg-137-das-bauhaus/,FALSE,
SG 138,Das deutsche Grundgesetz,https://slowgerman.com/2017/05/06/sg-138-das-deutsche-grundgesetz/,FALSE,
SG 139,Hermann Hesse,https://slowgerman.com/2017/07/09/sg-139-hermann-hesse/,FALSE,
SG 140,Die Bayreuther Festspiele Wagner-Festspiele,https://slowgerman.com/2017/07/25/sg-140-die-bayreuther-festspiele-wagner-festspiele/,FALSE,
SG 141,Mensch-ärgere-dich-nicht,https://slowgerman.com/2017/08/01/mensch-aergere-dich-nicht/,FALSE,
SG 142,Sehenswürdigkeiten in Deutschland,https://slowgerman.com/2017/08/09/sg-142-sehenswuerdigkeiten-in-deutschland/,FALSE,
SG 143,Architektur in Deutschland,https://slowgerman.com/2017/08/23/sg-143-architektur-in-deutschland/,FALSE,
SG 144,Der Herbst,https://slowgerman.com/2017/09/20/sg-144-der-herbst/,FALSE,
SG 145,Die deutsche Nationalhymne und Flagge,https://slowgerman.com/2017/09/27/sg-145-die-deutsche-nationalhymne-und-flagge/,FALSE,
SG 146,Die Beziehung,https://slowgerman.com/2017/10/11/sg-146-die-beziehung/,FALSE,
SG 147,Die Bahn in Deutschland,https://slowgerman.com/2017/10/18/sg-147-die-bahn-in-deutschland/,FALSE,
SG 148,Martin Luther und die Reformation,https://slowgerman.com/2017/10/25/sg-148-martin-luther-und-die-reformation-der-kirche/,FALSE,
SG 149,Der Rhein,https://slowgerman.com/2017/11/08/rhein/,FALSE,
SG 150,Schiller und Goethe,https://slowgerman.com/2017/11/15/sg-150-schiller-und-goethe-2/,FALSE,
SG 151,Jugendsprache,https://slowgerman.com/2017/11/21/jugendsprache/,FALSE,
SG 152,Weihnachtsplätzchen,https://slowgerman.com/2017/11/29/sg-152-weihnachtsplaetzchen/,FALSE,
SG 153,Heinrich Heine,https://slowgerman.com/2017/12/10/sg-153-heinrich-heine/,FALSE,
SG 154,Weihnachtslieder,https://slowgerman.com/2017/12/19/sg-154-weihnachtslieder/,FALSE,
SG 155,Das Nibelungenlied,https://slowgerman.com/2018/01/13/sg-155-das-nibelungenlied/,FALSE,
SG 156,Auf der Baustelle,https://slowgerman.com/2018/01/19/sg-156-auf-der-baustelle/,FALSE,
SG 157,Bertolt Brecht,https://slowgerman.com/2018/01/27/sg-157-bertolt-brecht/,FALSE,
SG 158,Die Zeit der Ritter,https://slowgerman.com/2018/02/03/zeit-der-ritter-mittelalter-burg/,FALSE,
SG 159,Max und Moritz,https://slowgerman.com/2018/02/10/sg-159-max-und-moritz/,FALSE,
SG 160,Die Volkshochschule,https://slowgerman.com/2018/02/23/sg-160-die-volkshochschule/,FALSE,
SG 161,Die Weimarer Republik,https://slowgerman.com/2018/03/02/sg-161-die-weimarer-republik/,FALSE,
SG 162,Deutsche Philosophen,https://slowgerman.com/2018/03/09/sg-162-deutsche-philosophen/,FALSE,
SG 163,Bürgerinitiative und Bürgerbegehren,https://slowgerman.com/2018/03/16/sg-163-buergerinitiative-und-buergerbegehren/,FALSE,
SG 164,Ostern,https://slowgerman.com/2018/03/24/sg-164-ostern/,FALSE,
SG 165,Ludwig van Beethoven,https://slowgerman.com/2018/04/06/sg-165-ludwig-van-beethoven/,FALSE,
SG 165b,The Family. Absolute Beginner,https://slowgerman.com/2018/04/13/the-family-absolute-beginner-11/,FALSE,
SG 166,Im Garten,https://slowgerman.com/2018/04/20/sg-166-im-garten/,FALSE,
SG 167,Playmobil,https://slowgerman.com/2018/04/27/sg-167-playmobil/,FALSE,
SG 167b,SG Dialog : Beim Sport,https://slowgerman.com/2018/05/04/dialog-sport/,FALSE,
SG 168,Elternzeit und Elterngeld,https://slowgerman.com/2018/05/12/sg-168-elternzeit-und-elterngeld/,FALSE,
SG 168b,SG Dialog #8: Haustiere,https://slowgerman.com/2018/06/06/sg-dialog-8-haustiere/,FALSE,
SG 169,Grillen,https://slowgerman.com/2018/05/18/sg-169-grillen/,FALSE,
SG 170,Kinderbetreuung in Deutschland,https://slowgerman.com/2018/06/18/sg-170-kinderbetreuung-in-deutschland/,FALSE,
SG 171,Glashütte Uhren,https://slowgerman.com/2018/07/21/sg-171-glashuette-uhren/,FALSE,
SG 172,Otto von Bismarck,https://slowgerman.com/2018/09/16/sg-172-otto-von-bismarck/,FALSE,
SG 173,Der Duden,https://slowgerman.com/2018/09/29/sg-173-der-duden/,FALSE,
SG 174,Die deutschen Bundesländer,https://slowgerman.com/2018/10/20/sg-174-die-deutschen-bundeslaender/,FALSE,
SG 174b,SG Dialog Mutter und Kind,https://slowgerman.com/2018/10/29/sg-dialog-9-mutter-und-kind/,FALSE,
SG 175,Die deutsche Raumfahrt,https://slowgerman.com/2018/11/19/sg-175-die-deutsche-raumfahrt/,FALSE,
SG 176,Die deutsche Raumfahrt,https://slowgerman.com/2018/11/19/sg-176-albert-einstein/,FALSE,
SG 177,Albert Einstein,https://slowgerman.com/2019/01/17/sg-177-das-mittelalter-in-deutschland/,FALSE,
SG 178,Das Mittelalter in Deutschland,https://slowgerman.com/2019/01/31/sg-178-der-tatortreiniger/,FALSE,
SG 179,Der Tatortreiniger,https://slowgerman.com/2019/02/15/sg-179-die-berlinale-das-deutsche-filmfestival/,FALSE,
SG 180,Die Berlinale das deutsche Filmfestival,https://slowgerman.com/2019/03/01/sg-180-kurorte-und-auf-kur-gehen/,FALSE,
SG 181,Kurorte und auf Kur gehen,https://slowgerman.com/2019/03/18/sg-179-deutsche-sprache-sprachgeschichte/,FALSE,
SG 182,Die deutsche Sprache Geschichte der Sprache,https://slowgerman.com/2019/04/15/sg-182-deutsche-berge-und-gebirge/,FALSE,
SG 183,Deutsche Berge und Gebirge,https://slowgerman.com/2019/05/16/sg-183-die-stasi/,FALSE,
SG 184,Die Stasi,https://slowgerman.com/2019/07/22/sg-184-das-gasthaus-und-die-gaststaette/,FALSE,
SG 185,Das Gasthaus und die Gaststätte,https://slowgerman.com/2019/08/14/sg-185-alexander-von-humboldt/,FALSE,
SG 186,Alexander von Humboldt,https://slowgerman.com/2019/09/10/sg-186-sucht-und-abhaengigkeit/,FALSE,
SG 187,Sucht und Abhängigkeit,https://slowgerman.com/2019/09/17/sg-187-der-kindergarten/,FALSE,
SG 188,Der Kindergarten,https://slowgerman.com/2019/09/24/sg-188-heinrich-hoffmann-struwwelpeter/,FALSE,
SG 189,Heinrich Hoffmann und sein Struwwelpeter,https://slowgerman.com/2019/10/01/sg-189-charite-das-berliner-krankenhaus/,TRUE,2025-10-13 16:00:41
SG 190,Charité das Berliner Krankenhaus,https://slowgerman.com/2019/10/08/sg-190-der-erste-weltkrieg-ww1/,FALSE,
SG 191,Der Erste Weltkrieg WW1,https://slowgerman.com/2019/10/16/sg-191-umweltschutz-und-klimawandel/,FALSE,
SG 191b,Umweltschutz und Klimawandel,https://slowgerman.com/2019/10/22/bus-und-bahn-verkehr-kleiner-alien-dialog-1/,FALSE,
SG 192,Online-Shopping,https://slowgerman.com/2019/10/29/online-shopping/,FALSE,
SG 193,Gastarbeiter in Deutschland,https://slowgerman.com/2019/11/05/sg-193-gastarbeiter-in-deutschland/,FALSE,
SG 194,Das deutsche Schulsystem (aktualisiert),https://slowgerman.com/2019/11/12/sg-194-das-deutsche-schulsystem-aktualisiert/,FALSE,
SG 195,Der Mediziner Robert Koch,https://slowgerman.com/2019/11/19/sg-195-der-mediziner-robert-koch/,FALSE,
SG 195b,Universität Studieren Kleiner Alien Dialog,https://slowgerman.com/2019/11/26/universitaet-studieren-kleiner-alien-dialog-2/,FALSE,
SG 196,Juden in Deutschland,https://slowgerman.com/2019/12/03/sg-196-juden-in-deutschland/,FALSE,
SG 197,Gewerkschaft und Betriebsrat,https://slowgerman.com/2019/12/10/betriebsrat-gewerkschaft/,TRUE,2025-10-13 16:05:34
SG 198,Banken und Finanzen in Deutschland,https://slowgerman.com/2019/12/17/sg-198-banken-und-finanzen-in-deutschland/,FALSE,
SG 199,Jakob Fugger und die Fugger-Familie,https://slowgerman.com/2019/12/24/sg-199-jakob-fugger-und-die-fugger-familie/,FALSE,
SG 200,Menschen mit Behinderung,https://slowgerman.com/2019/12/31/sg-200-menschen-mit-behinderung/,FALSE,
SG 200b,Frühstück und Arbeit Kleiner Alien Dialog,https://slowgerman.com/2020/01/21/fruehstueck-arbeit-kleiner-alien-dialog-3/,FALSE,
SG 201,Thomas Mann,https://slowgerman.com/2020/01/28/thomas-mann-sg-201/,FALSE,
SG 202,Nachhaltigkeit und Klimawandel,https://slowgerman.com/2020/02/04/nachhaltigkeit-und-klimawandel-sg-202/,FALSE,
SG 203,Die deutsche Polizei,https://slowgerman.com/2020/02/11/die-deutsche-polizei-sg-203/,FALSE,
SG 204,Österreich,https://slowgerman.com/2020/02/18/oesterreich-sg-204/,FALSE,
SG 204b,SG Dialog Jobsuche,https://slowgerman.com/2020/02/25/sg-dialog-10-jobsuche/,FALSE,
SG 205,DAX der Deutsche Aktien Index,https://slowgerman.com/2020/03/06/dax-der-deutsche-aktien-index-sg-205/,FALSE,
SG 206,Brief schreiben So schreibe ich einen Brief!,https://slowgerman.com/2020/03/24/brief-schreiben-so-schreibe-ich-einen-brief-sg-206/,FALSE,
SG 207,Das deutsche Urheberrecht,https://slowgerman.com/2020/04/10/das-deutsche-urheberrecht-sg-207/,FALSE,
SG 208,Corona / Covid-19 in Deutschland,https://slowgerman.com/2020/05/15/corona-covid-19-in-deutschland-sg-208/,FALSE,
SG 209,Aberglaube in Deutschland,https://slowgerman.com/2020/05/31/aberglaube-in-deutschland-sg-209/,FALSE,
SG 209b,SG Dialog Mein Kind ist krank,https://slowgerman.com/2020/06/23/sg-dialog-11-mein-kind-ist-krank/,FALSE,
SG 210,Die Uhrzeit,https://slowgerman.com/2020/07/09/die-uhrzeit-sg-210/,FALSE,
SG 211,Die Firma Siemens und ihr Gründer Werner Siemens,https://slowgerman.com/2020/07/29/die-firma-siemens-und-ihr-gruender-werner-siemens-sg-211/,FALSE,
SG 212,Die Schweiz,https://slowgerman.com/2020/08/11/die-schweiz-sg-212/,FALSE,
SG 213,Kinderrechte in Deutschland,https://slowgerman.com/2020/09/17/sg-213-kinderrechte-in-deutschland/,FALSE,
SG 214,Der Film Fack Ju Göhte,https://slowgerman.com/2020/09/22/der-film-fack-ju-goehte-sg-214/,FALSE,
SG 215,Die Gender-Debatte in Deutschland,https://slowgerman.com/2020/09/29/die-genderdebatte-in-deutschland-sg-215/,FALSE,
SG 216,Birkenstock die Schuhe und die Firma,https://slowgerman.com/2020/10/06/birkenstock-schuhe-firma-sg-216/,FALSE,
SG 217,Konsum in Deutschland,https://slowgerman.com/2020/10/13/konsum-in-deutschland-sg-217/,FALSE,
SG 218,Die Hobbys der Deutschen,https://slowgerman.com/2020/10/28/die-hobbys-der-deutschen-sg-218/,FALSE,
SG 219,Muslime in Deutschland,https://slowgerman.com/2020/11/16/muslime-in-deutschland-sg-219/,FALSE,
SG 220,Deutscher Film: Der Schuh des Manitu,https://slowgerman.com/2020/11/26/deutscher-film-der-schuh-des-manitu-sg-220/,FALSE,
SG 221,Verschwörungsmythen und Verschwörungstheorien,https://slowgerman.com/2020/12/01/verschwoerungsmythen-und-verschwoerungstheorien-sg-221/,FALSE,
SG 222,Der Untergang der Wilhelm Gustloff,https://slowgerman.com/2020/12/08/der-untergang-der-wilhelm-gustloff-sg-222/,FALSE,
SG 223,Arm und reich in Deutschland,https://slowgerman.com/2020/12/15/arm-und-reich-in-deutschland-sg-223/,FALSE,
SG 224,Das Zukunftsdorf Feldheim,https://slowgerman.com/2020/12/22/das-zukunftsdorf-feldheim-sg-224/,FALSE,
SG 225,Der öffentlich-rechtliche Rundfunk,https://slowgerman.com/2020/12/29/der-oeffentlich-rechtliche-rundfunk-sg-225/,FALSE,
SG 226,Wetter und Klima in Deutschland,https://slowgerman.com/2021/01/05/wetter-und-klima-in-deutschland-sg-226/,FALSE,
SG 227,True Crime: Das Verbrechen von Hinterkaifeck,https://slowgerman.com/2021/01/13/verbrechen-true-crime-hinterkaifeck/,FALSE,
SG 228,Der Marshallplan hilft Deutschland,https://slowgerman.com/2021/02/02/der-marshallplan-hilft-deutschland-sg-228/,FALSE,
SG 229,Der Kaufhaus-Erpresser Dagobert,https://slowgerman.com/2021/02/09/der-kaufhaus-erpresser-dagobert-sg-229/,FALSE,
SG 230,die sage der loreley am rhein,https://slowgerman.com/2021/02/16/die-sage-der-loreley-am-rhein-sg-230/,FALSE,
SG 231,Wacken das Heavy-Metal-Festival,https://slowgerman.com/2021/02/23/wacken-das-heavy-metal-festival-sg-231/,FALSE,
SG 232,Das rätselhafte Findelkind Kaspar Hauser,https://slowgerman.com/2021/03/02/das-raetselhafte-findelkind-kaspar-hauser-sg-232/,FALSE,
