verse_reference,theme,language,used,date_used
"Confucius - ""Life is really simple, but we insist on making it complicated.""",philosophy_mix,english,TRUE,
Lao Tzu - "The journey of a thousand miles begins with a single step.",philosophy_mix,english,TRUE,
Lao Tzu - "Silence is a source of great strength.",philosophy_mix,english,TRUE,
"Lao Tzu - ""Nature does not hurry, yet everything is accomplished.""",philosophy_mix,english,TRUE,
Lao Tzu - "He who knows others is wise. He who knows himself is enlightened.",philosophy_mix,english,TRUE,
Ludwig Wittgenstein - "The limits of my language mean the limits of my world.",philosophy_mix,english,TRUE,
"Ludwig Wittgenstein - ""Whereof one cannot speak, thereof one must be silent.""",philosophy_mix,english,TRUE,
"Marcus Aurelius - ""You have power over your mind - not outside events. Realize this, and you will find strength.""",philosophy_mix,english,TRUE,
Marcus Aurelius - "The best revenge is to be unlike him who performed the injustice.",philosophy_mix,english,TRUE,
"Marcus Aurelius - ""Loss is nothing else but change, and change is Nature's delight.""",philosophy_mix,english,TRUE,
"Marcus Aurelius - ""Very little is needed to make a happy life; it is all within yourself, in your way of thinking.""",philosophy_mix,english,TRUE,
Mark Twain - "Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do.",philosophy_mix,english,TRUE,
"Plato - ""Music gives a soul to the universe, wings to the mind, flight to the imagination.""",philosophy_mix,english,TRUE,
Plato - "Wise men speak because they have something to say; Fools because they have to say something.",philosophy_mix,english,TRUE,
"Plato - ""Never discourage anyone who continually makes progress, no matter how slow.""",philosophy_mix,english,TRUE,
Plato - "An empty vessel makes the loudest sound.",philosophy_mix,english,TRUE,
Plato - "The beginning is the most important part of the work.",philosophy_mix,english,TRUE,
Ralph Waldo Emerson - "To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.",philosophy_mix,english,TRUE,
Ralph Waldo Emerson - "For every minute you are angry you lose sixty seconds of happiness.",philosophy_mix,english,TRUE,
Ralph Waldo Emerson - "Nothing great was ever achieved without enthusiasm.",philosophy_mix,english,TRUE,
"Ralph Waldo Emerson - ""Life is a journey, not a destination.""",philosophy_mix,english,TRUE,
"René Descartes - ""I think, therefore I am.""",philosophy_mix,english,TRUE,
Ryan Holiday (from Stoicism) - "Ego is the enemy.",philosophy_mix,english,TRUE,
Ryan Holiday (from Stoicism) - "The obstacle is the way.",philosophy_mix,english,TRUE,
Seneca - "Every new chapter in life requires an old version of you to die.",philosophy_mix,english,TRUE,
"Seneca - ""While we are postponing, life speeds by.""",philosophy_mix,english,TRUE,
"Seneca - ""It is not the man who has too little, but the man who craves more, that is poor.""",philosophy_mix,english,TRUE,
"Seneca - ""Fate leads the willing, and drags along the reluctant.""",philosophy_mix,english,TRUE,
Seneca - "Luck is what happens when preparation meets opportunity.",philosophy_mix,english,TRUE,
"Simone de Beauvoir - ""One is not born, but rather becomes, a woman.""",philosophy_mix,english,TRUE,
"Simone de Beauvoir - ""Change your life today. Don't gamble on the future, act now, without delay.""",philosophy_mix,english,TRUE,
Socrates - "The only true wisdom is in knowing you know nothing.",philosophy_mix,english,TRUE,
"Socrates - ""People are like clay. They can be shaped and molded, but in the end, they must be fired in the kiln of life to become strong.""",philosophy_mix,english,TRUE,
Socrates - "The unexamined life is not worth living.",philosophy_mix,english,TRUE,
Socrates - "Know thyself.",philosophy_mix,english,TRUE,
"Voltaire - ""I disapprove of what you say, but I will defend to the death your right to say it.""",philosophy_mix,english,TRUE,
Voltaire - "Judge a man by his questions rather than by his answers.",philosophy_mix,english,TRUE,
Voltaire - "The secret of being a bore is to tell everything.",philosophy_mix,english,TRUE,
Voltaire - "Common sense is not so common.",philosophy_mix,english,TRUE,
