content,used,date_used
"02/03","1959 – The Day the Music Died: Buddy Holly, Ritchie Valens, and The Big Bopper die in a plane crash.",FALSE,
"02/04","2004 – Mark Zuckerberg launches the social network 'Thefacebook', later known as Facebook.",FALSE,
"02/05","1953 – Walt Disney's animated film 'Peter Pan' premieres in the USA.",FALSE,
"02/06","1952 – Elizabeth II becomes Queen of the United Kingdom after the death of her father, George VI.",FALSE,
"02/07","1964 – The Beatles arrive in the USA for the first time, beginning the 'British Invasion'.",FALSE,
"02/08","1828 – Jules Verne, French science fiction writer, is born.",FALSE,
"02/09","1969 – The Boeing 747 'Jumbo Jet' takes off for the first time.",FALSE,
"02/10","1996 – IBM's supercomputer Deep Blue defeats reigning world chess champion Garry Kasparov for the first time.",FALSE,
"02/11","1990 – Nelson Mandela is released from prison after 27 years.",FALSE,
"02/12","1809 – Charles Darwin, British naturalist and author of the theory of evolution, is born.",FALSE,
"02/13","1633 – Galileo Galilei arrives in Rome to face the Inquisition for his heliocentric views.",FALSE,
"02/14","2005 – The video-sharing website YouTube is founded.",FALSE,
"02/15","1564 – Galileo Galilei, Italian astronomer, physicist, and philosopher, is born.",FALSE,
"02/16","1923 – Howard Carter opens the burial chamber of Pharaoh Tutankhamun.",FALSE,
"02/17","1904 – Giacomo Puccini's opera 'Madama Butterfly' premieres in Milan.",FALSE,
"02/18","1930 – American astronomer Clyde Tombaugh discovers the planet Pluto.",FALSE,
"02/19","1473 – Nicolaus Copernicus, the astronomer who formulated the heliocentric model of the universe, is born.",FALSE,
"02/20","1962 – John Glenn becomes the first American to orbit the Earth.",FALSE,
"02/21","1953 – Francis Crick and James Watson discover the structure of the DNA molecule.",FALSE,
"02/22","1997 – Scientists in Scotland announce they have successfully cloned a sheep, Dolly.",FALSE,
"02/23","1455 – Johannes Gutenberg prints the first book using movable type, the Gutenberg Bible.",FALSE,
"02/24","1981 – Buckingham Palace announces the engagement of Prince Charles and Lady Diana Spencer.",FALSE,
"02/25","1964 – Muhammad Ali (then Cassius Clay) becomes the heavyweight champion of the world after defeating Sonny Liston.",FALSE,
"02/26","1935 – Robert Watson-Watt demonstrates the functioning of radar for the first time.",FALSE,
"02/27","1879 – Saccharin, the first artificial sweetener, is discovered.",FALSE,
"02/28","1953 – James Watson and Francis Crick announce to their colleagues that they have discovered the 'secret of life'—the structure of DNA.",FALSE,
"02/29","1504 – Christopher Columbus uses his knowledge of a lunar eclipse to persuade Jamaican natives to provide him with supplies.",FALSE,
"03/01","1936 – The construction of the Hoover Dam in the USA is completed.",FALSE,
"03/02","1965 – The film 'The Sound of Music' premieres in the USA.",FALSE,
"03/03","1931 – 'The Star-Spangled Banner' is officially adopted as the national anthem of the USA.",FALSE,
"03/04","1789 – The United States Congress meets for the first time in New York City.",FALSE,
"03/05","1970 – The Treaty on the Non-Proliferation of Nuclear Weapons comes into force.",FALSE,
"03/06","1899 – The Bayer company registers Aspirin as a trademark.",FALSE,
"03/07","1876 – Alexander Graham Bell is granted a patent for the invention of the telephone.",FALSE,
"03/08","1910 – International Women's Day is established at the International Socialist Women's Conference in Copenhagen.",FALSE,
"03/09","1959 – The first Barbie doll is introduced to the market.",FALSE,
"03/10","1876 – The first successful telephone call is made between Alexander Graham Bell and his assistant.",FALSE,
"03/11","2011 – An earthquake and subsequent tsunami in Japan cause a disaster at the Fukushima nuclear power plant.",FALSE,
"03/12","1989 – Tim Berners-Lee submits a proposal for a system that would later become the World Wide Web.",FALSE,
"03/13","1781 – William Herschel discovers the planet Uranus.",FALSE,
"03/14","1879 – Albert Einstein, one of the most important physicists of all time, is born.",FALSE,
"03/15","44 BC – Julius Caesar is assassinated in Rome.",FALSE,
"03/16","1926 – Robert Goddard launches the first liquid-fueled rocket.",FALSE,
"03/17","461 – Saint Patrick, the patron saint of Ireland, dies.",FALSE,
"03/18","1965 – Cosmonaut Alexei Leonov performs the first human spacewalk.",FALSE,
"03/19","1931 – Gambling is legalized in Nevada.",FALSE,
"03/20","1852 – Harriet Beecher Stowe's novel 'Uncle Tom's Cabin', which strongly influenced the fight against slavery, is published.",FALSE,
"03/21","1963 – The federal prison on Alcatraz Island in San Francisco is closed.",FALSE,
"03/22","1997 – Comet Hale-Bopp makes its closest approach to Earth.",FALSE,
"03/23","1919 – Benito Mussolini founds his fascist movement in Milan.",FALSE,
"03/24","1882 – German physician Robert Koch announces the discovery of the bacterium that causes tuberculosis.",FALSE,
"03/25","1655 – Dutch astronomer Christiaan Huygens discovers Titan, Saturn's largest moon.",FALSE,
"03/26","1827 – German composer Ludwig van Beethoven dies.",FALSE,
"03/27","1977 – The deadliest aviation accident in history occurs at the airport on the island of Tenerife.",FALSE,
"03/28","1930 – The Turkish cities of Constantinople and Angora are renamed Istanbul and Ankara.",FALSE,
"03/29","1886 – John Pemberton brews the first batch of Coca-Cola in Atlanta.",FALSE,
"03/30","1858 – Hyman Lipman patents the pencil with an attached eraser.",FALSE,
"03/31","1889 – The Eiffel Tower is officially opened in Paris.",FALSE,
"04/01","1976 – Steve Jobs, Steve Wozniak, and Ronald Wayne found Apple.",FALSE,
"04/02","1513 – Spanish explorer Juan Ponce de León lands in Florida.",FALSE,
"04/03","1973 – Martin Cooper makes the first mobile phone call.",FALSE,
"04/04","1968 – Martin Luther King Jr. is assassinated in Memphis.",FALSE,
"04/05","1998 – The Akashi Kaikyō Bridge in Japan, the world's longest suspension bridge, is opened.",FALSE,
"04/06","1896 – The first modern Olympic Games begin in Athens.",FALSE,
"04/07","1948 – The World Health Organization (WHO) is established.",FALSE,
"04/08","1974 – Hank Aaron breaks Babe Ruth's record for the most home runs in Major League Baseball.",FALSE,
"04/09","1865 – The American Civil War ends with General Lee's surrender.",FALSE,
"04/10","1912 – The luxury liner Titanic sets sail on its first and only voyage.",FALSE,
"04/11","1970 – The Apollo 13 mission launches from Kennedy Space Center.",FALSE,
"04/12","1961 – Yuri Gagarin becomes the first human in space.",FALSE,
"04/13","1970 – The Apollo 13 crew reports 'Houston, we've had a problem' after an oxygen tank explosion.",FALSE,
"04/14","1865 – U.S. President Abraham Lincoln is assassinated.",FALSE,
"04/15","1912 – The Titanic sinks in the North Atlantic after colliding with an iceberg.",FALSE,
"04/16","1943 – Swiss chemist Albert Hofmann accidentally discovers the psychedelic effects of LSD.",FALSE,
"04/17","1964 – Ford introduces the Mustang at the New York World's Fair.",FALSE,
"04/18","1955 – Albert Einstein dies.",FALSE,
"04/19","1775 – The American Revolutionary War begins with the battles of Lexington and Concord.",FALSE,
"04/20","1902 – Marie and Pierre Curie isolate the radioactive element radium.",FALSE,
"04/21","753 BC – According to tradition, Rome is founded.",FALSE,
"04/22","1970 – Earth Day is celebrated for the first time.",FALSE,
"04/23","1616 – English playwright William Shakespeare dies.",FALSE,
"04/24","1990 – The Hubble Space Telescope is launched into orbit by the Space Shuttle Discovery.",FALSE,
"04/25","1953 – An article by James Watson and Francis Crick describing the double helix structure of DNA is published in Nature.",FALSE,
"04/26","1986 – A disaster occurs at the Chernobyl nuclear power plant in Ukraine.",FALSE,
"04/27","1791 – Samuel Morse, inventor of the telegraph and Morse code, is born.",FALSE,
"04/28","2001 – Dennis Tito becomes the first space tourist.",FALSE,
"04/29","1992 – Widespread riots break out in Los Angeles after the acquittal in the Rodney King case.",FALSE,
"04/30","1789 – George Washington is inaugurated as the first President of the USA.",FALSE,
"05/01","1931 – The Empire State Building is opened in New York City.",FALSE,
"05/02","1519 – Leonardo da Vinci, Italian Renaissance artist and inventor, dies.",FALSE,
"05/03","1978 – The first mass unsolicited email (spam) is sent.",FALSE,
"05/04","1979 – Margaret Thatcher becomes the first female Prime Minister of the United Kingdom.",FALSE,
"05/05","1961 – Alan Shepard becomes the first American in space.",FALSE,
"05/06","1954 – Roger Bannister becomes the first person in history to run a mile in under four minutes.",FALSE,
"05/07","1824 – Beethoven's 9th Symphony premieres in Vienna.",FALSE,
"05/08","1886 – Pharmacist John Pemberton invents a carbonated drink that would later become known as Coca-Cola.",FALSE,
"05/09","1960 – The sale of the first birth control pill is approved in the USA.",FALSE,
"05/10","1869 – The first transcontinental railroad in the USA is completed in Utah.",FALSE,
"05/11","1997 – IBM's supercomputer Deep Blue defeats Garry Kasparov in a rematch.",FALSE,
"05/12","1820 – Florence Nightingale, the founder of modern nursing, is born.",FALSE,
"05/13","1981 – An assassination attempt is made on Pope John Paul II in St. Peter's Square in the Vatican.",FALSE,
"05/14","1948 – The independent state of Israel is declared.",FALSE,
"05/15","1928 – Mickey Mouse appears on screen for the first time in the silent short film 'Plane Crazy'.",FALSE,
"05/16","1929 – The first Academy Awards ceremony, known as the Oscars, is held in Hollywood.",FALSE,
"05/17","1792 – The New York Stock Exchange is founded.",FALSE,
"05/18","1980 – The eruption of Mount St. Helens in Washington state kills 57 people.",FALSE,
"05/19","1536 – Anne Boleyn, the second wife of Henry VIII, is executed in London.",FALSE,
"05/20","1873 – Levi Strauss and Jacob Davis receive a patent for blue jeans with copper rivets.",FALSE,
"05/21","1927 – Charles Lindbergh successfully completes the first solo non-stop transatlantic flight.",FALSE,
"05/22","1980 – The arcade game Pac-Man is released in Japan.",FALSE,
"05/23","1934 – Famous outlaws Bonnie and Clyde are shot and killed by police.",FALSE,
"05/24","1844 – Samuel Morse sends the first telegraph message between Washington D.C. and Baltimore.",FALSE,
"05/25","1977 – The film 'Star Wars: Episode IV – A New Hope' premieres in theaters.",FALSE,
"05/26","1897 – Bram Stoker's novel 'Dracula' is published in London.",FALSE,
"05/27","1937 – The Golden Gate Bridge in San Francisco is opened to the public.",FALSE,
"05/28","1934 – The Dionne quintuplets, the first known quintuplets to survive infancy, are born in Canada.",FALSE,
"05/29","1953 – Edmund Hillary and Tenzing Norgay become the first people to summit Mount Everest.",FALSE,
"05/30","1431 – Joan of Arc is burned at the stake in Rouen.",FALSE,
"05/31","1859 – The clock tower Big Ben in London begins operation.",FALSE,
"06/01","1980 – The news television station CNN, the first 24-hour news network, begins broadcasting.",FALSE,
"06/02","1953 – Elizabeth II is crowned Queen of the United Kingdom.",FALSE,
"06/03","1965 – Ed White becomes the first American to perform a spacewalk.",FALSE,
"06/04","1989 – The Chinese army violently suppresses protests in Tiananmen Square in Beijing.",FALSE,
"06/05","1968 – Senator Robert F. Kennedy is assassinated in Los Angeles.",FALSE,
"06/06","1944 – Allied forces land in Normandy (D-Day).",FALSE,
"06/07","1992 – The political party HZDS is formed in Slovakia, led by Vladimír Mečiar.",FALSE,
"06/08","1949 – George Orwell's novel 'Nineteen Eighty-Four' is published.",FALSE,
"06/09","1934 – Donald Duck appears for the first time in an animated film.",FALSE,
"06/10","1752 – Benjamin Franklin reportedly conducts his famous kite experiment with lightning.",FALSE,
"06/11","1963 – Buddhist monk Thích Quảng Đức self-immolates to protest the persecution of Buddhists in South Vietnam.",FALSE,
"06/12","1939 – The National Baseball Hall of Fame is opened in Cooperstown.",FALSE,
"06/13","1983 – The Pioneer 10 probe becomes the first man-made object to leave the solar system.",FALSE,
"06/14","1777 – The U.S. Congress adopts the Stars and Stripes as the official flag of the country.",FALSE,
"06/15","1215 – King John of England is forced to sign the Magna Carta.",FALSE,
"06/16","1963 – Valentina Tereshkova becomes the first woman in space.",FALSE,
"06/17","1885 – The Statue of Liberty, a gift from France, arrives in New York.",FALSE,
"06/18","1815 – Napoleon Bonaparte is defeated at the Battle of Waterloo.",FALSE,
"06/19","1865 – The abolition of slavery is announced in Texas, a day known as Juneteenth.",FALSE,
"06/20","1975 – Steven Spielberg's film 'Jaws' premieres in theaters.",FALSE,
"06/21","2004 – SpaceShipOne completes the first privately funded human spaceflight.",FALSE,
"06/22","1941 – Germany invades the Soviet Union (Operation Barbarossa).",FALSE,
"06/23","1894 – The International Olympic Committee is founded in Paris.",FALSE,
"06/24","1497 – John Cabot lands on the coast of North America.",FALSE,
"06/25","1950 – The Korean War breaks out.",FALSE,
"06/26","1997 – The first Harry Potter book is published in the United Kingdom.",FALSE,
"06/27","1978 – The first Czechoslovak cosmonaut, Vladimír Remek, travels to space.",FALSE,
"06/28","1914 – The assassination of Archduke Franz Ferdinand of Austria in Sarajevo leads to the outbreak of World War I.",FALSE,
"06/29","2007 – The first iPhone from Apple goes on sale in the USA.",FALSE,
"06/30","1908 – The Tunguska event, a massive explosion likely caused by a meteoroid, occurs over the Siberian taiga.",FALSE,
"07/01","1979 – Sony introduces the Walkman, the first portable cassette player.",FALSE,
"07/02","1937 – Amelia Earhart disappears during an attempt to circumnavigate the globe.",FALSE,
"07/03","1863 – The Battle of Gettysburg, a key battle of the American Civil War, ends.",FALSE,
"07/04","1776 – The Declaration of Independence is adopted in the USA.",FALSE,
"07/05","1996 – Dolly the sheep, the first cloned mammal, is born.",FALSE,
"07/06","1885 – Louis Pasteur successfully tests his rabies vaccine on a human.",FALSE,
"07/07","2005 – A series of terrorist bomb attacks occurs in London.",FALSE,
"07/08","1889 – The first issue of The Wall Street Journal is published.",FALSE,
"07/09","1877 – The first Wimbledon tennis tournament begins at the All England Club.",FALSE,
"07/10","1962 – Telstar, the world's first communications satellite, is launched.",FALSE,
"07/11","1804 – Alexander Hamilton, one of the U.S. Founding Fathers, is mortally wounded in a duel.",FALSE,
"07/12","1962 – The Rolling Stones play their first concert at London's Marquee Club.",FALSE,
"07/13","1985 – The Live Aid benefit concert is held simultaneously in London and Philadelphia.",FALSE,
"07/14","1789 – The storming of the Bastille marks the beginning of the French Revolution.",FALSE,
"07/15","2006 – The social network Twitter is launched.",FALSE,
"07/16","1969 – The Apollo 11 mission launches from Kennedy Space Center with the goal of landing on the Moon.",FALSE,
"07/17","1955 – The first Disneyland opens in California.",FALSE,
"07/18","1925 – Adolf Hitler publishes his book 'Mein Kampf'.",FALSE,
"07/19","1848 – The first women's rights convention is held in Seneca Falls, USA.",FALSE,
"07/20","1969 – Neil Armstrong and Buzz Aldrin become the first humans to land on the Moon.",FALSE,
"07/21","1983 – The lowest temperature on Earth, -89.2 °C, is recorded in Antarctica.",FALSE,
"07/22","1933 – Wiley Post becomes the first person to fly solo around the world.",FALSE,
"07/23","1903 – The Ford Motor Company sells its first car, the Model A.",FALSE,
"07/24","1911 – Hiram Bingham III discovers the lost Inca city of Machu Picchu in Peru.",FALSE,
"07/25","1978 – The first test-tube baby, Louise Brown, is born.",FALSE,
"07/26","1953 – Fidel Castro leads an unsuccessful attack on the Moncada Barracks, marking the start of the Cuban Revolution.",FALSE,
"07/27","1940 – Bugs Bunny appears on screen for the first time.",FALSE,
"07/28","1914 – Austria-Hungary declares war on Serbia, beginning World War I.",FALSE,
"07/29","1981 – The wedding of Prince Charles and Lady Diana Spencer takes place in London.",FALSE,
"07/30","1956 – The phrase 'In God We Trust' becomes the official motto of the USA.",FALSE,
"07/31","1971 – The Apollo 15 astronauts use the lunar rover on the Moon for the first time.",FALSE,
"08/01","1981 – The music television station MTV begins broadcasting.",FALSE,
"08/02","1939 – Albert Einstein writes a letter to President Roosevelt, warning him of the possibility of Germany developing an atomic bomb.",FALSE,
"08/03","1492 – Christopher Columbus sets sail from Palos de la Frontera on his first voyage to the Americas.",FALSE,
"08/04","1944 – Anne Frank and her family are arrested by German police in Amsterdam.",FALSE,
"08/05","1962 – American actress Marilyn Monroe is found dead.",FALSE,
"08/06","1945 – The USA drops an atomic bomb on the Japanese city of Hiroshima.",FALSE,
"08/07","1974 – Philippe Petit walks on a high wire between the towers of the World Trade Center in New York.",FALSE,
"08/08","1974 – Richard Nixon announces his resignation as U.S. President due to the Watergate scandal.",FALSE,
"08/09","1945 – The USA drops an atomic bomb on the Japanese city of Nagasaki.",FALSE,
"08/10","1793 – The Louvre Palace in Paris is opened as a public museum.",FALSE,
"08/11","1934 – The federal prison on Alcatraz Island is opened.",FALSE,
"08/12","1981 – IBM introduces its first personal computer (the IBM PC).",FALSE,
"08/13","1961 – Construction of the Berlin Wall begins in Berlin.",FALSE,
"08/14","1945 – Japan accepts the terms of unconditional surrender, effectively ending World War II.",FALSE,
"08/15","1969 – The legendary Woodstock music festival begins.",FALSE,
"08/16","1977 – American singer and actor Elvis Presley dies.",FALSE,
"08/17","1978 – The first transatlantic balloon flight is completed by the Double Eagle II.",FALSE,
"08/18","1920 – The 19th Amendment to the U.S. Constitution, granting women the right to vote, is ratified.",FALSE,
"08/19","1839 – The French government presents the invention of photography (the daguerreotype) to the world and makes it freely available.",FALSE,
"08/20","1968 – Warsaw Pact troops invade Czechoslovakia to suppress the Prague Spring.",FALSE,
"08/21","1911 – The Mona Lisa is stolen from the Louvre in Paris.",FALSE,
"08/22","1864 – The first Geneva Convention, concerning the treatment of wounded soldiers, is signed.",FALSE,
"08/23","1305 – Scottish national hero William Wallace is executed in London.",FALSE,
"08/24","79 AD – The eruption of Mount Vesuvius destroys the Roman cities of Pompeii and Herculaneum.",FALSE,
"08/25","1609 – Galileo Galilei demonstrates his first telescope in Venice.",FALSE,
"08/26","1978 – Albino Luciani is elected Pope and takes the name John Paul I.",FALSE,
"08/27","1883 – The eruption of the Krakatoa volcano causes one of the loudest sounds in recorded history.",FALSE,
"08/28","1963 – Martin Luther King Jr. delivers his famous 'I Have a Dream' speech during the March on Washington.",FALSE,
"08/29","1885 – Gottlieb Daimler patents the first motorcycle.",FALSE,
"08/30","1967 – Thurgood Marshall is confirmed as the first African American Supreme Court Justice.",FALSE,
"08/31","1997 – Princess Diana dies in a car crash in Paris.",FALSE,
"09/01","1939 – Germany invades Poland, beginning World War II.",FALSE,
"09/02","1945 – World War II officially ends with the signing of Japan's surrender aboard the USS Missouri.",FALSE,
"09/03","1783 – The Treaty of Paris is signed, ending the American Revolutionary War.",FALSE,
"09/04","1998 – Larry Page and Sergey Brin found Google.",FALSE,
"09/05","1972 – A terrorist attack on Israeli athletes occurs during the Munich Olympics.",FALSE,
"09/06","1522 – The ship Victoria returns to Spain, completing the first circumnavigation of the world.",FALSE,
"09/07","1822 – Brazil declares independence from Portugal.",FALSE,
"09/08","1504 – Michelangelo's statue of David is unveiled in Florence.",FALSE,
"09/09","1976 – Mao Zedong, leader of the Chinese Communist Party, dies.",FALSE,
"09/10","2008 – The Large Hadron Collider at CERN is turned on.",FALSE,
"09/11","2001 – Terrorists attack the World Trade Center in New York and the Pentagon in Washington D.C.",FALSE,
"09/12","1959 – The Soviet probe Luna 2 becomes the first man-made object to land on the Moon's surface.",FALSE,
"09/13","1993 – The Oslo Accords between Israel and Palestine are signed in Washington.",FALSE,
"09/14","1752 – The British Empire adopts the Gregorian calendar, skipping 11 days.",FALSE,
"09/15","1935 – The Nuremberg race laws are enacted in Nazi Germany.",FALSE,
"09/16","1620 – The Mayflower sets sail from Plymouth, England, towards America.",FALSE,
"09/17","1787 – The United States Constitution is signed in Philadelphia.",FALSE,
"09/18","1851 – The first issue of The New York Times is published.",FALSE,
"09/19","1893 – New Zealand becomes the first country in the world to grant women the right to vote.",FALSE,
"09/20","1519 – Ferdinand Magellan sets sail on a voyage around the world.",FALSE,
"09/21","1937 – J. R. R. Tolkien publishes the novel 'The Hobbit'.",FALSE,
"09/22","1862 – Abraham Lincoln issues the preliminary Emancipation Proclamation, freeing slaves.",FALSE,
"09/23","1846 – German astronomer Johann Galle discovers the planet Neptune.",FALSE,
"09/24","1948 – The Honda Motor Company is founded.",FALSE,
"09/25","1690 – The first newspaper in America is published in Boston.",FALSE,
"09/26","1960 – The first televised U.S. presidential debate (Nixon vs. Kennedy) takes place.",FALSE,
"09/27","1905 – Albert Einstein publishes the article presenting the famous equation E=mc².",FALSE,
"09/28","551 BC – According to tradition, Chinese philosopher Confucius is born.",FALSE,
"09/29","1954 – The European Organization for Nuclear Research (CERN) is founded in Geneva.",FALSE,
"09/30","1955 – American actor James Dean dies in a car accident.",FALSE,
"10/01","1908 – Ford introduces the Model T, the first mass-produced automobile.",FALSE,
"10/02","1869 – Mahatma Gandhi, leader of the Indian independence movement, is born.",FALSE,
"10/03","1990 – Germany is reunified.",FALSE,
"10/04","1957 – The Soviet Union launches Sputnik 1, the first artificial Earth satellite.",FALSE,
"10/05","1962 – The Beatles release their first single, 'Love Me Do'.",FALSE,
"10/06","1927 – The premiere of the film 'The Jazz Singer' marks the end of the silent film era.",FALSE,
"10/07","1959 – The Luna 3 probe photographs the far side of the Moon for the first time.",FALSE,
"10/08","1871 – The Great Chicago Fire breaks out, destroying a large part of the city.",FALSE,
"10/09","1989 – A mass demonstration in Leipzig signals the impending fall of the Berlin Wall.",FALSE,
"10/10","1970 – Fiji gains independence from the United Kingdom.",FALSE,
"10/11","1984 – Kathryn Sullivan becomes the first American woman to perform a spacewalk.",FALSE,
"10/12","1492 – Christopher Columbus lands on an island in the Caribbean, 'discovering' America for Europeans.",FALSE,
"10/13","1307 – On the orders of King Philip IV of France, thousands of Knights Templar are arrested and imprisoned.",FALSE,
"10/14","1947 – Chuck Yeager becomes the first person to break the sound barrier.",FALSE,
"10/15","1990 – Mikhail Gorbachev is awarded the Nobel Peace Prize.",FALSE,
"10/16","1793 – Marie Antoinette is executed during the French Revolution.",FALSE,
"10/17","1931 – Gangster Al Capone is convicted of tax evasion.",FALSE,
"10/18","1867 – The USA formally takes possession of Alaska from Russia.",FALSE,
"10/19","1781 – The British army surrenders at Yorktown, effectively ending the American Revolutionary War.",FALSE,
"10/20","1973 – The Sydney Opera House is officially opened.",FALSE,
"10/21","1879 – Thomas Edison successfully tests his first commercially viable electric light bulb.",FALSE,
"10/22","1962 – President Kennedy announces a naval blockade of Cuba, beginning the Cuban Missile Crisis.",FALSE,
"10/23","2001 – Apple introduces the first iPod.",FALSE,
"10/24","1945 – The UN Charter comes into force, officially establishing the United Nations.",FALSE,
"10/25","1881 – Pablo Picasso, Spanish painter and sculptor, is born.",FALSE,
"10/26","1881 – The famous gunfight at the O.K. Corral takes place in Tombstone, Arizona.",FALSE,
"10/27","1904 – The first subway line in New York City is opened.",FALSE,
"10/28","1886 – The Statue of Liberty is officially unveiled in New York.",FALSE,
"10/29","1969 – The first connection is made between two computers on the ARPANET, the predecessor to the internet.",FALSE,
"10/30","1938 – Orson Welles broadcasts his famous radio dramatization of 'The War of the Worlds', causing panic.",FALSE,
"10/31","1517 – Martin Luther reportedly nails his Ninety-five Theses to the church door in Wittenberg, starting the Reformation.",FALSE,
"11/01","1993 – The Maastricht Treaty comes into force, officially establishing the European Union.",FALSE,
"11/02","1947 – Howard Hughes makes the only flight of his huge aircraft, the Spruce Goose.",FALSE,
"11/03","1957 – The Soviet Union launches Sputnik 2 into space with the dog Laika on board.",FALSE,
"11/04","1922 – Howard Carter discovers the entrance to Tutankhamun's tomb in the Valley of the Kings.",FALSE,
"11/05","1605 – The Gunpowder Plot, an attempt to assassinate King James I, is discovered in England.",FALSE,
"11/06","1860 – Abraham Lincoln is elected as the 16th President of the USA.",FALSE,
"11/07","1917 – The October Revolution begins in Russia.",FALSE,
"11/08","1895 – Wilhelm Röntgen discovers a new type of radiation, which he calls X-rays.",FALSE,
"11/09","1989 – The Berlin Wall falls.",FALSE,
"11/10","1969 – The children's educational show 'Sesame Street' premieres in the USA.",FALSE,
"11/11","1918 – World War I ends with the signing of the armistice.",FALSE,
"11/12","1990 – Tim Berners-Lee publishes a formal proposal for the World Wide Web.",FALSE,
"11/13","1982 – The Vietnam Veterans Memorial is dedicated in Washington D.C.",FALSE,
"11/14","1889 – Journalist Nellie Bly embarks on a journey to circumnavigate the globe in less than 80 days.",FALSE,
"11/15","1971 – Intel introduces the first commercially available microprocessor, the Intel 4004.",FALSE,
"11/16","1945 – The United Nations Educational, Scientific and Cultural Organization (UNESCO) is founded.",FALSE,
"11/17","1869 – The Suez Canal is opened.",FALSE,
"11/18","1928 – Mickey Mouse becomes famous with the premiere of the short film 'Steamboat Willie'.",FALSE,
"11/19","1863 – Abraham Lincoln delivers his famous Gettysburg Address.",FALSE,
"11/20","1985 – Microsoft releases the first version of its operating system, Windows 1.0.",FALSE,
"11/21","1877 – Thomas Edison announces the invention of the phonograph, a device for recording and reproducing sound.",FALSE,
"11/22","1963 – President John F. Kennedy is assassinated in Dallas.",FALSE,
"11/23","1963 – The first episode of the sci-fi series 'Doctor Who' premieres in the United Kingdom.",FALSE,
"11/24","1859 – Charles Darwin publishes his groundbreaking book 'On the Origin of Species'.",FALSE,
"11/25","1915 – Albert Einstein presents the general theory of relativity.",FALSE,
"11/26","1922 – Howard Carter and Lord Carnarvon become the first people in thousands of years to enter Tutankhamun's tomb.",FALSE,
"11/27","1895 – Alfred Nobel signs his will, dedicating his fortune to establishing the Nobel Prize.",FALSE,
"11/28","1520 – Ferdinand Magellan becomes the first European to sail from the Atlantic to the Pacific Ocean.",FALSE,
"11/29","1972 – Atari releases Pong, one of the first commercially successful video games.",FALSE,
"11/30","1835 – Mark Twain, American writer, is born.",FALSE,
"12/01","1955 – Rosa Parks is arrested in Montgomery, Alabama, leading to the bus boycott.",FALSE,
"12/02","1804 – Napoleon Bonaparte crowns himself Emperor of France in Paris.",FALSE,
